institution_id,source_id,member_id,amoc,m_so,m_wmt
CCCma,CanESM5,r1i1p1f1,13.407922744750977,11.52901632,38.90463569940353
CCCma,CanESM5-CanOE,r1i1p2f1,12.844468116760254,11.70582528,39.31580660738952
CMCC,CMCC-CM2-SR5,r1i1p1f1,22.7735595703125,13.264974848,35.20418265203029
CMCC,CMCC-ESM2,r1i1p1f1,22.78456687927246,13.434113024,34.0255757742026
CNRM-CERFACS,CNRM-CM6-1,r1i1p1f2,17.81652069091797,14.954254336,34.38677175666742
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,15.756267547607422,nan,41.674043789917874
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,17.736255645751953,14.82758144,36.97658999863599
CSIRO,ACCESS-ESM1-5,r1i1p1f1,22.26110076904297,14.88313344,40.74078260481235
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,20.684154510498047,15.474033664,40.252776633793964
DKRZ,MPI-ESM1-2-HR,r1i1p1f1,19.516748428344727,19.06655232,36.041209827501845
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,nan,12.245331968,nan
EC-Earth-Consortium,EC-Earth3-CC,r1i1p1f1,17.48975944519043,12.02051072,32.22794482618763
EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,16.68556785583496,11.97349376,nan
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,nan,12.280369152,nan
IPSL,IPSL-CM6A-LR,r1i1p1f1,12.600605010986328,10.924918784,37.16630009648594
MIROC,MIROC6,r1i1p1f1,19.250234603881836,15.325570048,36.20244091636346
MOHC,HadGEM3-GC31-LL,r1i1p1f1,16.903766632080078,12.313613312,37.531387311183124
MOHC,HadGEM3-GC31-MM,r1i1p1f1,18.708330154418945,nan,40.76681648727326
MOHC,UKESM1-0-LL,r1i1p1f2,15.973474502563477,11.609089024,40.590295363423245
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,23.03993797302246,18.422398976,35.6087421695617
MRI,MRI-ESM2-0,r1i1p1f1,21.720924377441406,12.409411584,58.83292122099073
NASA-GISS,GISS-E2-1-G,r1i1p1f2,nan,13.352271872,nan
NCAR,CESM2,r1i1p1f1,23.808645248413086,nan,nan
NCAR,CESM2-WACCM,r1i1p1f1,23.64239501953125,nan,nan
NCC,NorESM2-LM,r1i1p1f1,23.61480140686035,14.062665728,nan
NCC,NorESM2-MM,r1i1p1f1,24.756145477294922,14.320121856,30.814675555443234
NOAA-GFDL,GFDL-CM4,r1i1p1f1,19.42394256591797,nan,55.780868222863454
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,21.216445922851562,nan,47.34987264208746
