model,piControl,1pctCO2,ohue
CanESM5,r1i1p1f1,r1i1p1f1,0.5482002353983374
CanESM5-CanOE,r1i1p2f1,r1i1p2f1,0.566933542097147
CMCC-CM2-SR5,r1i1p1f1,r1i1p1f1,0.5804569886404978
CMCC-ESM2,r1i1p1f1,r1i1p1f1,0.6578071441313306
CNRM-CM6-1,r1i1p1f2,r1i1p1f2,0.6478580910179145
CNRM-CM6-1-HR,r1i1p1f2,r1i1p1f2,0.6274907240093565
CNRM-ESM2-1,r1i1p1f2,r1i1p1f2,0.7095724334683737
ACCESS-ESM1-5,r1i1p1f1,r1i1p1f1,0.6987040934735159
ACCESS-CM2,r1i1p1f1,r1i1p1f1,0.6821322527635971
MPI-ESM1-2-HR,r1i1p1f1,r1i1p1f1,0.8365379100550171
EC-Earth3,r1i1p1f1,r3i1p1f1,0.6137117129542392
EC-Earth3-CC,r1i1p1f1,r1i1p1f1,0.5540970569770902
EC-Earth3-Veg,r1i1p1f1,r1i1p1f1,0.5581127951472474
EC-Earth3-Veg-LR,r1i1p1f1,r1i1p1f1,0.5374171169285837
IPSL-CM6A-LR,r1i1p1f1,r1i1p1f1,0.5623935664405886
MIROC6,r1i1p1f1,r1i1p1f1,0.830096735342329
HadGEM3-GC31-LL,r1i1p1f1,r1i1p1f3,0.5977517714586884
HadGEM3-GC31-MM,r1i1p1f1,r1i1p1f3,0.630832121146423
UKESM1-0-LL,r1i1p1f2,r1i1p1f2,0.636255121905676
MPI-ESM1-2-LR,r1i1p1f1,r1i1p1f1,0.7803194105759643
MRI-ESM2-0,r1i1p1f1,r1i1p1f1,0.9189265934351963
GISS-E2-1-G,r1i1p1f2,r1i1p1f1,0.7738862552147491
CESM2,r1i1p1f1,r1i1p1f1,0.7437587086919875
CESM2-WACCM,r1i1p1f1,r1i1p1f1,0.7634168291411969
NorESM2-LM,r1i1p1f1,r1i1p1f1,0.6982306830572214
NorESM2-MM,r1i1p1f1,r1i1p1f1,0.7614864448118791
GFDL-CM4,r1i1p1f1,r1i1p1f1,0.7007377706565707
GFDL-ESM4,r1i1p1f1,r1i1p1f1,0.8241513158276974
